r,J
-0.017544246207325274,10.0
-0.016597951387001427,9.048374180359597
-0.01565165656667758,8.187307530779819
-0.014705361746353732,7.4081822068171785
-0.013759066926029885,6.703200460356394
-0.012812772105706038,6.065306597126334
-0.01186647728538219,5.488116360940265
-0.010920182465058343,4.965853037914096
-0.009973887644734496,4.4932896411722165
-0.009027592824410647,4.06569659740599
-0.0080812980040868,3.6787944117144233
-0.007135003183762952,3.3287108369807954
-0.0061887083634391046,3.0119421191220215
-0.005242413543115257,2.725317930340126
-0.00429611872279141,2.465969639416065
-0.0033498239024675625,2.231301601484298
-0.002403529082143715,2.018965179946554
-0.001457234261819866,1.826835240527346
-0.0005109394414960187,1.652988882215865
0.0004353553788278286,1.4956861922263505
0.001381650199151676,1.353352832366127
0.0023279450194755233,1.224564282529819
0.0032742398397993706,1.1080315836233388
0.004220534660123218,1.0025884372280376
0.005166829480447065,0.9071795328941251
0.006113124300770913,0.820849986238988
0.00705941912109476,0.7427357821433388
0.008005713941418607,0.6720551273974975
0.008952008761742455,0.6081006262521798
0.009898303582066302,0.5502322005640721
0.01084459840239015,0.49787068367863946
0.011790893222713997,0.4504920239355782
0.012737188043037844,0.4076220397836621
0.013683482863361691,0.36883167401240013
0.014629777683685542,0.3337326996032607
0.015576072504009386,0.301973834223185
0.016522367324333237,0.2732372244729254
0.01746866214465708,0.247235264703394
0.01841495696498093,0.22370771856165592
0.019361251785304776,0.20241911445804397
0.020307546605628626,0.1831563888873418
0.02125384142595247,0.16572675401761255
0.02220013624627632,0.14995576820477702
0.023146431066600165,0.13568559012200934
0.024092725886924016,0.12277339903068436
0.02503902070724786,0.11108996538242306
0.02598531552757171,0.10051835744633586
0.026931610347895554,0.09095277101695824
0.027877905168219405,0.08229747049020031
0.02882419998854325,0.07446583070924344
0.029770494808867096,0.06737946999085467
